id,loc
7609691,"УБ — Баянгол, 3, 4 хороолол"
7448361,"УБ — Баянгол, 3, 4 хороолол"
7448361,"УБ — Баянгол, 3, 4 хороолол"
7369538,"УБ — Чингэлтэй, 40, 50 мянгат"
7542279,"УБ — Чингэлтэй, Чингэлтэй, Хороо 6"
7607243,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1"
7543198,"УБ — Баянзүрх, Амгалан"
7560955,"УБ — Баянзүрх, Зүүн 4 зам"
7482736,"УБ — Сонгинохайрхан, 21-р хороолол"
7619743,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 19"
7538442,"УБ — Баянгол, 10-р хороолол"
7124470,"УБ — Баянзүрх, Амгалан"
7124470,"УБ — Баянзүрх, Амгалан"
7190122,"УБ — Баянзүрх, Баянзүрх, Хороо 8"
7085228,"УБ — Баянзүрх, Амгалан"
7615295,УБ — Сүхбаатар
7594874,"УБ — Баянгол, 3, 4 хороолол"
7544076,"УБ — Баянгол, Баянгол, Хороо 19"
7549413,"УБ — Баянгол, Төмөр зам"
7456676,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7456676,"УБ — Баянгол, 3, 4 хороолол"
7511732,"УБ — Баянгол, 6-р бичил"
7592476,УБ — Сүхбаатар
7538965,"УБ — Баянзүрх, 13-р хороолол"
7575554,"УБ — Баянгол, 3, 4 хороолол"
7528605,"УБ — Баянгол, 3, 4 хороолол"
7556155,"УБ — Баянгол, 3, 4 хороолол"
7630356,"УБ — Баянгол, 3, 4 хороолол"
7607240,"УБ — Баянзүрх, Баянзүрх, Хороо 4"
7578277,"УБ — Баянгол, 10-р хороолол"
7530128,"УБ — Баянзүрх, Баянзүрх, Хороо 12"
7560931,"УБ — Баянзүрх, Офицер"
7559943,"УБ — Сүхбаатар, 11-р хороолол"
7552904,"УБ — Баянгол, 3, 4 хороолол"
7529011,"УБ — Баянгол, 10-р хороолол"
7529011,"УБ — Баянгол, 10-р хороолол"
7080388,"УБ — Баянгол, 3, 4 хороолол"
7546873,УБ — Сүхбаатар
7527620,УБ — Сүхбаатар
7599374,"УБ — Чингэлтэй, Чингэлтэй, Хороо 3"
7546750,"УБ — Налайх, Налайх, Хороо 7"
7605696,"УБ — Сонгинохайрхан, 1-р хороолол"
7452040,"УБ — Баянгол, Баянгол, Хороо 20"
7640196,"УБ — Баянгол, 3, 4 хороолол"
7622195,"УБ — Баянгол, 3, 4 хороолол"
7361388,"УБ — Баянзүрх, Сансар"
7457370,"УБ — Баянзүрх, Сансар"
7534482,"УБ — Баянзүрх, Сансар"
7538045,УБ — Сүхбаатар
7611118,"УБ — Баянгол, 3, 4 хороолол"
7152230,"УБ — Баянгол, 3, 4 хороолол"
7404780,"УБ — Баянгол, Баянгол, Хороо 15"
7590933,"УБ — Баянзүрх, 15-р хороолол"
7590933,"УБ — Баянзүрх, 15-р хороолол"
7508329,"УБ — Баянгол, 3, 4 хороолол"
7573595,"УБ — Баянгол, Баянгол, Хороо 13"
7635532,"УБ — Баянгол, 3, 4 хороолол"
7608992,"УБ — Баянгол, 3, 4 хороолол"
7591620,УБ — Сүхбаатар
7612573,"УБ — Сүхбаатар, Бага тойрог"
7560735,"УБ — Баянгол, 3, 4 хороолол"
7619264,"УБ — Баянгол, 3, 4 хороолол"
7625288,"УБ — Баянгол, 10-р хороолол"
7548972,УБ — Сүхбаатар
7176766,"УБ — Баянзүрх, 16-р хороолол"
7548399,"УБ — Сонгинохайрхан, 21-р хороолол"
7440994,"УБ — Баянгол, 3, 4 хороолол"
7505723,"УБ — Баянзүрх, Сансар"
7544421,"Сэлэнгэ, Сэлэнгэ"
7497785,"УБ — Баянзүрх, 13-р хороолол"
7590764,"УБ — Хан-Уул, Хан-Уул, Хороо 3"
7590764,"УБ — Хан-Уул, Хан-Уул, Хороо 3"
7636697,"УБ — Баянгол, Төмөр зам"
7603921,"УБ — Баянгол, 3, 4 хороолол"
7545815,"УБ — Сонгинохайрхан, 1-р хороолол"
7591060,"УБ — Баянзүрх, 15-р хороолол"
7591060,"УБ — Баянзүрх, 15-р хороолол"
7589502,"УБ — Сүхбаатар, Бага тойрог"
7614123,"УБ — Сүхбаатар, Дөлгөөн нуур"
7628026,УБ — Сүхбаатар
7585211,"УБ — Сүхбаатар, 5-р хороолол"
7059191,"УБ — Хан-Уул, 19-р хороолол"
6739506,"УБ — Хан-Уул, Био комбинат"
7568240,"УБ — Баянзүрх, Баянзүрх, Хороо 1"
7581318,"УБ — Баянзүрх, Сансар"
7450499,УБ — Сүхбаатар
7636820,"УБ — Баянзүрх, Баянзүрх, Хороо 7"
7373326,"УБ — Баянзүрх, 15-р хороолол"
7373326,"УБ — Баянзүрх, 15-р хороолол"
7556036,"УБ — Баянзүрх, Баянзүрх, Хороо 7"
7611796,"УБ — Баянгол, 6-р бичил"
7397236,"УБ — Баянгол, 6-р бичил"
7346853,"УБ — Баянгол, Баянгол, Хороо 19"
7592095,"УБ — Баянгол, Төмөр зам"
7530512,"УБ — Баянгол, Төмөр зам"
7563081,"УБ — Баянгол, Төмөр зам"
7580947,"УБ — Баянгол, Төмөр зам"
7590176,"УБ — Баянгол, Төмөр зам"
7294780,"УБ — Сонгинохайрхан, 1-р хороолол"
7601498,"УБ — Сонгинохайрхан, 1-р хороолол"
7294780,"УБ — Сонгинохайрхан, 1-р хороолол"
7640249,УБ — Сүхбаатар
7016767,"УБ — Баянзүрх, Сансар"
7557479,УБ — Сүхбаатар
7444672,УБ — Сүхбаатар
7247782,"УБ — Чингэлтэй, Баянбүрд"
7583304,"УБ — Сүхбаатар, 5-р хороолол"
7576460,УБ — Сүхбаатар
